English;Français;Date;Nb;Score;Taux;Good image;Taux2
a slot;une fente, une rainure;16/03/2019;1;1;1;1,1125;-0,11
a wall socket;une prise électrique murale;16/03/2019;12;6;0,5;0,975;-0,48
a punnet;une barquette;24/03/2019;0;0;0;1,125;-1,13
All in good time.;Chaque chose en son temps.;24/03/2019;0;0;0;1,125;-1,13
I passed my exam.;J'ai réussi mon examen;24/03/2019;1;1;1;1,1125;-0,11
a necklace;un collier;24/03/2019;1;1;1;1,1125;-0,11
As I see it, …;Selon moi, …;24/03/2019;1;-1;-1;1,1125;-2,11
Give my love to Diane.;Embrasse Diane de ma part.;24/03/2019;3;1;0,333333333;1,0875;-0,75
a cap;une casquette;24/03/2019;4;4;1;1,075;-0,08
We found her passed out.;On l'a retrouvée évanouie.;24/03/2019;5;5;1;1,0625;-0,06
She's pretty chilled.;Elle est très décontractée.;24/03/2019;6;6;1;1,05;-0,05
I'm a size 12.;Je fais du 40 (en taille);24/03/2019;6;6;1;1,05;-0,05
I can be quite shy around new people.;Je suis de nature plutôt timide avec les gens que je ne connais pas.;24/03/2019;6;-3;-0,5;1,05;-1,55
a tin of beans;une boîte de conserve de haricots;24/03/2019;7;7;1;1,0375;-0,04
I'm very outgoing.;Je suis très extraverti.;24/03/2019;7;7;1;1,0375;-0,04
He lives in the country by preference.;Il a choisi de vivre à la campagne.;24/03/2019;8;8;1;1,025;-0,02
Is it machine washable?;Est-ce lavable en machine ?;24/03/2019;8;6;0,75;1,025;-0,28
I'm always up for a laugh.;Je suis toujours prêt à rigoler.;24/03/2019;8;2;0,25;1,025;-0,78
I've been feeling off-colours ever since I came back from holidays.;Je me sens patraque depuis que je suis rentré de vacances.;24/03/2019;8;0;0;1,025;-1,03
I wouldn't mind a cup of coffee.;Je prendrais bien une tasse de café.;24/03/2019;9;5;0,555555556;1,0125;-0,46
At what time does the room have to be vacated by?;A quelle heure faut-il libérer la chambre ?;24/03/2019;10;8;0,8;1;-0,2
a scarf;une écharpe, un foulard;24/03/2019;10;6;0,6;1;-0,4
I've got a prescription from my doctor;J'ai une ordonnance de mon médecin;24/03/2019;10;4;0,4;1;-0,6
How much is it for a go?;Combien coûte un tour ? (de manège, …);24/03/2019;10;4;0,4;1;-0,6
What do you do in your spare time ?;Que fais-tu pendant ton temps libre ?;24/03/2019;11;7;0,636363636;0,9875;-0,35
I can get on with anyone.;Je m'entends bien avec tout le monde.;24/03/2019;11;-7;-0,636363636;0,9875;-1,62
Cooking really helps me to relax.;Cuisiner m'aide vraiment à me détendre.;24/03/2019;12;11;0,916666667;0,975;-0,06
My pleasure.;Je vous en prie.;24/03/2019;12;10;0,833333333;0,975;-0,14
His preference is Mozart.;Il préfère Mozart.;24/03/2019;12;8;0,666666667;0,975;-0,31
With reference to your recent complaint, …;Suite à votre récente réclamation, …;24/03/2019;12;-2;-0,166666667;0,975;-1,14
I hope this information will be of assistance to you.;J'espère que ces informations vous seront utiles.;24/03/2019;13;11;0,846153846;0,9625;-0,12
Are there boat cruises available?;Y a-t-il des croisières de disponible ?;24/03/2019;13;11;0,846153846;0,9625;-0,12
Which stop should I get off to go to …?;A quelle station dois-je descendre pour aller à … ?;24/03/2019;13;5;0,384615385;0,9625;-0,58
I'm just having a main course.;Je ne prends qu'un plat.;24/03/2019;13;1;0,076923077;0,9625;-0,89
Let me put another way…;Je vais présenter ça autrement …;24/03/2019;13;-1;-0,076923077;0,9625;-1,04
If you ask me, …;Si vous voulez mon avis, …;24/03/2019;13;-7;-0,538461538;0,9625;-1,5
Can you take us to casualty?;Pouvez-vous nous emmener aux urgences ?;24/03/2019;14;10;0,714285714;0,95;-0,24
What do you recommend as a side?;Que proposez-vous en accompagnement ?;24/03/2019;14;10;0,714285714;0,95;-0,24
Can you put me through to …?;Pourriez-vous me passer … ?;24/03/2019;15;13;0,866666667;0,9375;-0,07
This is just not good enough.;Ce n'est tout simplement pas suffisant.;24/03/2019;15;13;0,866666667;0,9375;-0,07
A draught beer, please.;Une bière pression s'il vous plaît.;24/03/2019;15;12;0,8;0,9375;-0,14
Can we get something to eat?;Est-il possible de manger quelque chose ?;24/03/2019;15;11;0,733333333;0,9375;-0,2
I have a shower and get dressed.;Je prends une douche et je m'habille.;24/03/2019;15;9;0,6;0,9375;-0,34
Can you recommend any good places to shop for watches?;Avez-vous un endroit à me conseiller pour acheter des montres ?;24/03/2019;15;5;0,333333333;0,9375;-0,6
The point I'm trying to make is…;Ce que j'essaie de dire, c'est …;24/03/2019;16;12;0,75;0,925;-0,18
I look forward to doing further business with you.;Dans l'attente de travailler de nouveau avec vous.;24/03/2019;16;12;0,75;0,925;-0,18
What would you recommend I bring back to France?;Que me suggérez-vous de ramener en France ?;24/03/2019;16;8;0,5;0,925;-0,43
I got stung by a wasp / a jellyfish.;Je me suis fait piquer par une guêpe / une méduse.;24/03/2019;17;15;0,882352941;0,9125;-0,03
Do you serve wine by the glass?;Est-ce que vous pouvez servir le vin au verre ?;24/03/2019;17;13;0,764705882;0,9125;-0,15
Give me a buzz so I can save your number.;Bipe-moi, j'enregistrerai ton numéro.;24/03/2019;17;8;0,470588235;0,9125;-0,44
Further to my call this morning, I would like to confirm my order.;Suite à mon appel de ce matin, j'aimerais confirmer ma commande.;24/03/2019;17;7;0,411764706;0,9125;-0,5
I've got a temperature.;J'ai de la fièvre.;24/03/2019;18;16;0,888888889;0,9;-0,01
I'm not crazy about football.;Je ne suis pas un fou de foot.;24/03/2019;18;12;0,666666667;0,9;-0,23
Just a minute - I'm going to put you on speaker so the rest of the team can hear you.;"Un instant je vous prie; je mets le haut-parleur pour que le reste de l'équipe puisse vous entendre.";24/03/2019;18;6;0,333333333;0,9;-0,57
On balance, I thinks it's a good idea.;Tout bien considéré, je pense que c'est une bonne idée.;24/03/2019;19;9;0,473684211;0,8875;-0,41
Nice one!;Bien joué !;24/03/2019;20;16;0,8;0,875;-0,08
Any time!;Quand tu veux ! (A…);24/03/2019;22;18;0,818181818;0,85;-0,03
I graduated in English in 2017.;J'ai obtenu mon diplôme d'anglais en 2017.;24/03/2019;23;19;0,826086957;0,8375;-0,01
I have been in my current job just over two years.;Cela fait un peu plus de deux ans que j'occupe mon poste actuel.;24/03/2019;24;16;0,666666667;0,825;-0,16
With regard to the rate of interest paid, ...;Concernant le taux des intérêts versés, …;24/03/2019;25;19;0,76;0,8125;-0,05
What are you so upset about?;Qu'est-ce qui te met dans cet état ?;03/04/2019;7;-3;-0,428571429;1,0375;-1,47
I was petrified he would tell her.;J'étais mort de peur à l'idée qu'il le lui dise.;03/04/2019;10;8;0,8;1;-0,2
By mutual agreement, they went their separate ways.;Ils se sont séparés d'un commun accord.;03/04/2019;11;7;0,636363636;0,9875;-0,35
Their arrival caught me unaware.;Leur arrivée m'a pris au dépourvu.;03/04/2019;12;10;0,833333333;0,975;-0,14
I think I can go along with that.;Je pense pouvoir dire que ça me va.;03/04/2019;12;6;0,5;0,975;-0,48
Don't worry, he's just putting it on.;Ne t'inquiète pas, il fait du cinéma.;03/04/2019;14;12;0,857142857;0,95;-0,09
Granted, he's not very intelligent, but...;D'accord, il n'est pas très intelligent, mais …;03/04/2019;14;12;0,857142857;0,95;-0,09
It's plain that she's lying.;Il est évident qu'elle ment. (p…);03/04/2019;14;10;0,714285714;0,95;-0,24
Do you approve of the proposal?;Êtes-vous d'accord avec cette proposition ?;03/04/2019;14;2;0,142857143;0,95;-0,81
There's no love lost between them.;Ils se détestent cordialement.;03/04/2019;15;13;0,866666667;0,9375;-0,07
It was a piece of cake!;C'était du gâteau !;03/04/2019;15;13;0,866666667;0,9375;-0,07
I ran into an old school friend this morning.;Je suis tombé sur un ancien camarade d'école ce matin.;03/04/2019;15;12;0,8;0,9375;-0,14
Are you clear about what you have to do?;As-tu bien compris ce que tu as à faire ?;03/04/2019;15;11;0,733333333;0,9375;-0,2
If there's anything I can do for you, please let me know.;Si je peux vous aider en quoi que ce soit, n'hésitez pas à me le faire savoir.;03/04/2019;15;7;0,466666667;0,9375;-0,47
Make up your mind!;Décidez-vous !;03/04/2019;16;14;0,875;0,925;-0,05
We are in no doubt as to her competences.;Nous n'avons aucun doute sur ses compétences.;03/04/2019;16;12;0,75;0,925;-0,18
Those are my feelings exactly.;Je partage ton sentiment là-dessus.;03/04/2019;16;12;0,75;0,925;-0,18
It saddens me to see what becomes of them.;Ca me rend triste de voir ce qu'il sont devenus.;03/04/2019;16;8;0,5;0,925;-0,43
I don't think very highly of my boss.;Je n'ai pas une très haute opinion de mon responsable.;03/04/2019;17;15;0,882352941;0,9125;-0,03
I've no time for that sort of attitude.;Je ne supporte pas ce genre d'attitude.;03/04/2019;18;14;0,777777778;0,9;-0,12
We said our goodbyes and left.;Nous avons fait nos adieux et nous sommes partis.;03/04/2019;18;10;0,555555556;0,9;-0,34
I'll pick you up from the station.;Je viendrai te chercher à la gare.;03/04/2019;18;8;0,444444444;0,9;-0,46
In despair, she took her own life.;Désespérée, elle a mis fin à ses jours.;03/04/2019;20;4;0,2;0,875;-0,68
My oldest daughter has just turned 20.;Ma fille aînée vient d'avoir 20 ans.;03/04/2019;21;7;0,333333333;0,8625;-0,53
He passed himself off as a hero.;Il s'est fait passé pour un héros.;03/04/2019;21;-11;-0,523809524;0,8625;-1,39
Say hello to him for me.;Dis-lui bonjour de ma part.;03/04/2019;23;19;0,826086957;0,8375;-0,01
Are you in pain?;Avez-vous mal ?;04/04/2019;7;3;0,428571429;1,0375;-0,61
She has rings under her eyes.;Elle a des cernes.;04/04/2019;9;7;0,777777778;1,0125;-0,23
It makes no difference to me.;Cela m'est égal.;04/04/2019;13;-1;-0,076923077;0,9625;-1,04
I regret having ever mentioned it now.;Aujourd'hui, je regrette d'en avoir parlé.;04/04/2019;14;8;0,571428571;0,95;-0,38
Who cares?;Qu'est-ce que ça peut faire ?;04/04/2019;15;7;0,466666667;0,9375;-0,47
You give up too easily.;Tu abandonnes trop facilement.;04/04/2019;17;15;0,882352941;0,9125;-0,03
Take no notice of him!;Ne faites pas attention à lui !;04/04/2019;17;13;0,764705882;0,9125;-0,15
Hearing myself say that, I just wanted the ground to open and to swallow me up.;J'aurais voulu disparaître sous terre quand je me suis rendu compte de ce que j'avais dit.;04/04/2019;17;11;0,647058824;0,9125;-0,27
I'm getting thirsty.;Je commence à avoir soif.;04/04/2019;17;6;0,352941176;0,9125;-0,56
Can I get you something to drink?;Est-ce que je peux vous offrir quelque chose à boire ?;04/04/2019;18;12;0,666666667;0,9;-0,23
Have you had any news of her?;Avez-vous eu de ses nouvelles ?;04/04/2019;18;10;0,555555556;0,9;-0,34
We'll have to make the best of the situation.;Il faudra nous accommoder de la situation.;04/04/2019;20;16;0,8;0,875;-0,08
This medecine will help ease the pain.;Ce médicament soulagera la douleur.;04/04/2019;22;18;0,818181818;0,85;-0,03
I urged him to accept.;Je lui ai vivement conseillé d'accepter.;06/04/2019;7;7;1;1,0375;-0,04
I owe you £20, is that right?;Je vous dois 20 livres, c'est ça ?;06/04/2019;8;8;1;1,025;-0,02
Is there anything you need?;Avez-vous besoin de quelque chose ?;06/04/2019;8;-2;-0,25;1,025;-1,28
She wasn't very convincing as Juliet.;Elle n'était pas très convaincante dans le rôle de Juliette.;06/04/2019;11;5;0,454545455;0,9875;-0,53
He'd have me believe that it's an antique.;Il voudrait me faire croire que c'est un objet d'époque.;06/04/2019;11;3;0,272727273;0,9875;-0,71
I've told you hundreds of times!;Je vous l'ai dit cent fois !;06/04/2019;12;10;0,833333333;0,975;-0,14
(Keep your) Chin up!;Courage !;06/04/2019;12;10;0,833333333;0,975;-0,14
They weren't at all curious as to how it had happened.;Ils n'étaient pas du tout curieux de savoir comment cela s'était produit.;06/04/2019;12;3;0,25;0,975;-0,73
Which do you want? Either one will do.;Lequel veux-tu ? N'importe.;06/04/2019;13;1;0,076923077;0,9625;-0,89
Take your time over it.;Prenez le temps qu'il faudra.;06/04/2019;14;12;0,857142857;0,95;-0,09
When would be the best time for you?;Quelle heure vous conviendrait le mieux ?;06/04/2019;14;0;0;0,95;-0,95
This is on me.;C'est moi qui offre.;06/04/2019;16;11;0,6875;0,925;-0,24
I don't have much faith in him.;Je n'ai pas une très grande confiance en lui.;06/04/2019;26;20;0,769230769;0,8;-0,03
Do you mind if I borrow your pen? I'd rather you didn't.;Puis-je emprunter ton stylo ? Je préfèrerais que non.;08/04/2019;11;5;0,454545455;0,9875;-0,53
Forget it!;Tu peux oublier !;08/04/2019;12;10;0,833333333;0,975;-0,14
Don't say I didn't warn you!;Je t'aurai prévenu !;08/04/2019;14;12;0,857142857;0,95;-0,09
Just leave it alone, will you!;Ne touche pas à ça, tu m'entends !;08/04/2019;15;12;0,8;0,9375;-0,14
He is very intolerant of noisy children.;Il ne supporte absolument pas les enfants bruyants.;08/04/2019;16;14;0,875;0,925;-0,05
He could'nt be doing with living in London.;Il ne pouvait pas supporter de vivre à Londres.;08/04/2019;16;8;0,5;0,925;-0,43
Are you up to doing it?;En êtes-vous capables ?;08/04/2019;17;13;0,764705882;0,9125;-0,15
No one's forcing you.;Tu n'es pas obligé.;08/04/2019;17;11;0,647058824;0,9125;-0,27
There is little chance of that happening.;Il y a peu de chances que cela se produise.;08/04/2019;17;-1;-0,058823529;0,9125;-0,97
He's quite unsuitable for the job.;Ce n'est pas la personne qu'il faut pour ce poste.;08/04/2019;18;16;0,888888889;0,9;-0,01
She comes to see me whenever possible.;Elle vient me voir quand elle le peut.;08/04/2019;18;16;0,888888889;0,9;-0,01
Attendance is compulsory.;La présence est obligatoire.;08/04/2019;23;19;0,826086957;0,8375;-0,01
That's the least of my worries.;C'est le cadet de mes soucis.;09/04/2019;9;9;1;1,0125;-0,01
I don't get much enjoyment out of teaching.;Je n'ai guère de plaisir à enseigner.;09/04/2019;11;7;0,636363636;0,9875;-0,35
How about meeting for a drink after work? That'd be nice.;Ca te dirait de prendre un verre après le travail ? Oui, ce serait sympa.;09/04/2019;12;-3;-0,25;0,975;-1,23
Would you like to go out for dinner with me tomorrow night? Sorry, I can't make it.;Aimerais-tu aller dîner avec moi demain soir ? Désolé, je ne peux pas.;09/04/2019;14;6;0,428571429;0,95;-0,52
That's a weight off my mind.;Je suis vraiment soulagé. (expr.);09/04/2019;18;14;0,777777778;0,9;-0,12
Nothing seems to trouble him.;Il ne s'en fait jamais.;09/04/2019;19;13;0,684210526;0,8875;-0,2
He's making great strides with his research.;Sa recherche avance à grands pas.;09/04/2019;20;15;0,75;0,875;-0,13
We don't have anything planned tomorrow afternoon.;Nous n'avons rien de prévu pour demain après-midi.;09/04/2019;20;12;0,6;0,875;-0,28
flush (adj.);abondant (f…);28/04/2019;4;0;0;1,075;-1,08
a wildcard;une carte joker;29/04/2019;8;8;1;1,025;-0,02
terse;laconique, concis;01/05/2019;6;0;0;1,05;-1,05
a trade-off (common name);un compromis (t…);15/05/2019;3;1;0,333333333;1,0875;-0,75
vaunted;vanné;18/05/2019;4;4;1;1,075;-0,08
a hull;une coque;18/05/2019;7;7;1;1,0375;-0,04
to slacken;ralentir, se relâcher;20/05/2019;0;0;0;1,125;-1,13
hollow;creux;20/05/2019;0;0;0;1,125;-1,13
perks;les avantages divers (salaires, notes de frais, CE, …);20/05/2019;0;0;0;1,125;-1,13
the vanguard;l'avant-garde;20/05/2019;1;1;1;1,1125;-0,11
a snippet;un extrait, un fragment, une bribe;20/05/2019;1;1;1;1,1125;-0,11
the vicinity;les environs, les alentours (v…);20/05/2019;1;-1;-1;1,1125;-2,11
steep;raide (une pente ...);20/05/2019;1;-1;-1;1,1125;-2,11
a parrot;un perroquet;20/05/2019;2;2;1;1,1;-0,1
stiff (adj.);rigide (s…);20/05/2019;2;-2;-1;1,1;-2,1
to crop;rogner / surgir / récolter;20/05/2019;3;3;1;1,0875;-0,09
stranded;échoué;20/05/2019;3;3;1;1,0875;-0,09
a boilerplate;une plaque de cuisson;20/05/2019;3;-1;-0,333333333;1,0875;-1,42
an underwriting;une souscription;20/05/2019;3;-1;-0,333333333;1,0875;-1,42
outermost;le plus extérieur;20/05/2019;4;4;1;1,075;-0,08
despicable;méprisable;20/05/2019;4;4;1;1,075;-0,08
peculiar;particulier;20/05/2019;5;5;1;1,0625;-0,06
an endeavor;un effort;20/05/2019;5;5;1;1,0625;-0,06
upwind;au vent;20/05/2019;5;3;0,6;1,0625;-0,46
a pun;un calembour;20/05/2019;6;6;1;1,05;-0,05
a dye;un colorant;20/05/2019;8;6;0,75;1,025;-0,28
to mutter;murmurer;20/05/2019;8;0;0;1,025;-1,03
the way to go;la marche à suivre;20/05/2019;11;9;0,818181818;0,9875;-0,17
puzzling;déroutant;20/05/2019;11;9;0,818181818;0,9875;-0,17
innermost;intime;20/05/2019;13;9;0,692307692;0,9625;-0,27
verbose;prolixe;20/05/2019;16;14;0,875;0,925;-0,05
a quirk;une bizarrerie (q…);20/05/2019;16;12;0,75;0,925;-0,18
to staunch;étancher;17/06/2019;1;1;1;1,1125;-0,11
the breath;l'haleine;17/06/2019;7;5;0,714285714;1,0375;-0,32
a hoax;un canular;15/07/2019;0;0;0;1,125;-1,13
desperation (common name);le désespoir;15/07/2019;1;1;1;1,1125;-0,11
haphazard;au hasard;15/07/2019;2;2;1;1,1;-0,1
veneer, varnish (common name);du vernis;15/07/2019;4;4;1;1,075;-0,08
from scratch;à partir de rien;15/07/2019;7;7;1;1,0375;-0,04
piece work;le travail à la pièce;15/07/2019;12;8;0,666666667;0,975;-0,31
to dip;plonger / tremper;27/07/2019;0;0;0;1,125;-1,13
fads (common name);des manies;27/07/2019;2;2;1;1,1;-0,1
approximately;environ (a…);27/07/2019;2;-2;-1;1,1;-2,1
all-out war;la guerre totale;27/07/2019;3;1;0,333333333;1,0875;-0,75
an air conditioner;une climatisation;27/07/2019;4;4;1;1,075;-0,08
ripeness (common name);la matûrité;27/07/2019;4;4;1;1,075;-0,08
an appraisal;une évaluation (a…);27/07/2019;4;0;0;1,075;-1,08
to shudder;frémir;27/07/2019;4;-2;-0,5;1,075;-1,58
meshed;maillé;27/07/2019;5;5;1;1,0625;-0,06
a lawn;une pelouse (l…);27/07/2019;5;1;0,2;1,0625;-0,86
blandness;la douceur / la fadeur (b…);27/07/2019;5;-3;-0,6;1,0625;-1,66
unrelenting;implacable;27/07/2019;6;6;1;1,05;-0,05
an insole;une semelle intérieure;27/07/2019;7;7;1;1,0375;-0,04
heretofore;jusqu'ici (h…);27/07/2019;8;8;1;1,025;-0,02
a mower;une tondeuse;27/07/2019;8;8;1;1,025;-0,02
the vertex (plural: vertices);le sommet (v…);27/07/2019;8;6;0,75;1,025;-0,28
spellbound;ensorcelant, envoûtant (s…);27/07/2019;9;1;0,111111111;1,0125;-0,9
a spark plug;une bougie d'allumage;05/08/2019;0;0;0;1,125;-1,13
a dwelling;une habitation (d…);05/08/2019;2;2;1;1,1;-0,1
a spark;une étincelle;05/08/2019;4;4;1;1,075;-0,08
a telescope;une longue-vue;05/08/2019;4;-2;-0,5;1,075;-1,58
a wrinkle;une ride;05/08/2019;7;3;0,428571429;1,0375;-0,61
a plaintiff;un plaignant;05/08/2019;9;9;1;1,0125;-0,01
a millwright;un mécanicien de chantier;05/08/2019;9;9;1;1,0125;-0,01
a stake;un enjeu;05/08/2019;9;9;1;1,0125;-0,01
a limb;un membre (l...);05/08/2019;9;7;0,777777778;1,0125;-0,23
to topple;renverser;12/08/2019;0;0;0;1,125;-1,13
overdone;exagéré;12/08/2019;1;-1;-1;1,1125;-2,11
to parse;analyser (p…);12/08/2019;2;2;1;1,1;-0,1
beveled;biseauté;12/08/2019;8;8;1;1,025;-0,02
rickety;rachitique;12/08/2019;10;8;0,8;1;-0,2
goofing (verb);gaffer;12/08/2019;10;-4;-0,4;1;-1,4
to partake;prendre part à;12/08/2019;11;9;0,818181818;0,9875;-0,17
an ember;une braise;12/08/2019;14;12;0,857142857;0,95;-0,09
a moth;un papillon de nuit;14/10/2019;3;1;0,333333333;1,0875;-0,75
slippery;glissant;14/10/2019;4;2;0,5;1,075;-0,58
a stove;un fourneau, un four vapeur (s…);14/10/2019;5;3;0,6;1,0625;-0,46
skewed;faussé / assymétrique;14/10/2019;7;7;1;1,0375;-0,04
an anvil;une enclume;14/10/2019;12;10;0,833333333;0,975;-0,14
a trough;un creux;18/10/2019;2;2;1;1,1;-0,1
a snail;un escargot;18/10/2019;2;0;0;1,1;-1,1
a clam;une palourde / un bavard;18/10/2019;3;-3;-1;1,0875;-2,09
Tow away zone;Interdiction de stationner (zone d'enlèvement de voiture) / zone de remorquage maritime;18/10/2019;4;4;1;1,075;-0,08
rough;rude (r…);18/10/2019;4;0;0;1,075;-1,08
a chime;un carillon;18/10/2019;21;15;0,714285714;0,8625;-0,15
padded;rembourré (p…);23/10/2019;4;2;0,5;1,075;-0,58
a potter;un potier;23/10/2019;6;6;1;1,05;-0,05
drapes (common name);les teintures;23/10/2019;7;7;1;1,0375;-0,04
a vanload (expression);Le nombre de personnes pouvant être transportées dans un van (une dizaine);23/10/2019;8;8;1;1,025;-0,02
pleated;plissé;23/10/2019;9;9;1;1,0125;-0,01
a blossom;une fleur (b…);23/10/2019;14;12;0,857142857;0,95;-0,09
ensuing;qui s'ensuit;29/10/2019;0;0;0;1,125;-1,13
fern (common name);la fougère;29/10/2019;1;1;1;1,1125;-0,11
tusks;les défenses (d'un animal);29/10/2019;1;1;1;1,1125;-0,11
a headgear;une coiffure;29/10/2019;1;-1;-1;1,1125;-2,11
a bangle;un bracelet (b…);29/10/2019;2;0;0;1,1;-1,1
the snout;le museau;29/10/2019;3;-3;-1;1,0875;-2,09
the swine;le porc;29/10/2019;4;2;0,5;1,075;-0,58
to billow;onduler (b…);29/10/2019;4;2;0,5;1,075;-0,58
bygone (adj.);(évènement) passé (b…);29/10/2019;4;0;0;1,075;-1,08
an ewer;une aiguière;29/10/2019;5;5;1;1,0625;-0,06
the truss, the framework;la charpente;29/10/2019;5;-1;-0,2;1,0625;-1,26
a feud;une querelle (f…);29/10/2019;7;-1;-0,142857143;1,0375;-1,18
a laundromat;une laverie;29/10/2019;9;9;1;1,0125;-0,01
heirs;les héritiers;01/11/2019;2;2;1;1,1;-0,1
a conch;une conque (coquillage);02/11/2019;0;0;0;1,125;-1,13
a venture loan;un prêt à risque;02/11/2019;0;0;0;1,125;-1,13
a beaver;un castor;02/11/2019;0;0;0;1,125;-1,13
incisors;les incisives;02/11/2019;0;0;0;1,125;-1,13
an outstanding payment;un impayé;02/11/2019;0;0;0;1,125;-1,13
custard (cooking);de la crème pâtissière;02/11/2019;1;-1;-1;1,1125;-2,11
a shamrock;un trèfle;02/11/2019;3;3;1;1,0875;-0,09
the immediate next of kin;le parent le plus proche;02/11/2019;3;1;0,333333333;1,0875;-0,75
paramount;primordial;02/11/2019;3;-1;-0,333333333;1,0875;-1,42
to take the leap;faire le grand saut;02/11/2019;4;4;1;1,075;-0,08
the mortgage balance;le solde hypothécaire;02/11/2019;5;5;1;1,0625;-0,06
a ditch;un fossé (d…);02/11/2019;5;1;0,2;1,0625;-0,86
disheartened;découragé;02/11/2019;6;2;0,333333333;1,05;-0,72
a quarry;une carrière (sens propre);02/11/2019;7;7;1;1,0375;-0,04
unity bills;les factures d'électricité;02/11/2019;7;5;0,714285714;1,0375;-0,32
seamless;sans couture;02/11/2019;8;4;0,5;1,025;-0,53
subsequently;par la suite;02/11/2019;9;9;1;1,0125;-0,01
a kiln;un four;02/11/2019;9;9;1;1,0125;-0,01
mishaps (common name);les mésaventures;02/11/2019;11;7;0,636363636;0,9875;-0,35
a dash;une course, un élan;03/11/2019;1;1;1;1,1125;-0,11
to whiz;fuser;03/11/2019;6;0;0;1,05;-1,05
a shortcoming;un défaut;06/11/2019;0;0;0;1,125;-1,13
to team up with;faire équipe avec;06/11/2019;2;2;1;1,1;-0,1
to hand back;rendre (h…);06/11/2019;5;3;0,6;1,0625;-0,46
the storyline;le scénario;06/11/2019;9;7;0,777777778;1,0125;-0,23
a foray;une incursion (f…);06/11/2019;13;9;0,692307692;0,9625;-0,27
to soak;tremper;07/11/2019;1;1;1;1,1125;-0,11
deceptively;trompeusement;07/11/2019;1;-1;-1;1,1125;-2,11
meager;maigre;07/11/2019;4;4;1;1,075;-0,08
towering;imposant (t…);07/11/2019;5;3;0,6;1,0625;-0,46
nefarious;infâme (n…);07/11/2019;5;1;0,2;1,0625;-0,86
a pebble;un galet (de plage);07/11/2019;6;4;0,666666667;1,05;-0,38
chirping (common name);un gazouillement, un pépiement;07/11/2019;7;3;0,428571429;1,0375;-0,61
to tear up;déchirer (to t…);07/11/2019;17;-3;-0,176470588;0,9125;-1,09
a hedge-trimmer;un taille-haie;18/11/2019;1;1;1;1,1125;-0,11
the soulmate;l'âme sœur;18/11/2019;1;1;1;1,1125;-0,11
a schoolboy;un écolier;18/11/2019;1;1;1;1,1125;-0,11
a timeliness;une opportunité (t…);18/11/2019;5;1;0,2;1,0625;-0,86
to hold true;être vrai;18/11/2019;6;6;1;1,05;-0,05
a windfall;une aubaine;18/11/2019;6;0;0;1,05;-1,05
sintered;fritté;18/11/2019;12;0;0;0,975;-0,98
a surrogate;un substitut;03/12/2019;3;-3;-1;1,0875;-2,09
utterly;tout à fait, totalement (u…);03/12/2019;6;2;0,333333333;1,05;-0,72
featuring with;"""mettant en vedette avec""";03/12/2019;9;9;1;1,0125;-0,01
the scurvy;le scorbut;03/12/2019;14;10;0,714285714;0,95;-0,24
blatant;flagrant;03/12/2019;16;12;0,75;0,925;-0,18
a buy-off;un rachat;16/12/2019;3;-1;-0,333333333;1,0875;-1,42
to cover;recouvrir;16/12/2019;7;-1;-0,142857143;1,0375;-1,18
a timeframe;une plage de temps;16/12/2019;10;8;0,8;1;-0,2
a disclaimer;un avertissement (d…);16/12/2019;15;11;0,733333333;0,9375;-0,2
upfront (adj.) / an upfront payment;franc / un paiement initial, à l'avance;17/12/2019;22;14;0,636363636;0,85;-0,21
a bead;une perle;27/12/2019;1;1;1;1,1125;-0,11
a cutaway;un plan de coupe (dessin technique);27/12/2019;3;3;1;1,0875;-0,09
a sling;une élingue / une écharpe médicale;27/12/2019;3;3;1;1,0875;-0,09
a shutter;un volet / un obturateur;27/12/2019;3;1;0,333333333;1,0875;-0,75
a nipple;un mamelon (n…);27/12/2019;4;0;0;1,075;-1,08
the causeway;la chaussée;27/12/2019;5;5;1;1,0625;-0,06
the headdress;la coiffure;27/12/2019;5;5;1;1,0625;-0,06
coarse / crass;grossier;27/12/2019;5;1;0,2;1,0625;-0,86
an omen;un présage (o…);27/12/2019;5;-3;-0,6;1,0625;-1,66
to encompass;englober;27/12/2019;6;6;1;1,05;-0,05
I took an exam.;J'ai passé un examen.;27/12/2019;8;-4;-0,5;1,025;-1,53
a jackal;un chacal;18/01/2020;0;0;0;1,125;-1,13
to grizzle;geindre;18/01/2020;1;-1;-1;1,1125;-2,11
to plunder;piller (p…);18/01/2020;6;6;1;1,05;-0,05
an axle;un essieu;27/01/2020;1;-1;-1;1,1125;-2,11
a horse sense / savvy / gumption;du bon sens, de la jugeotte;27/01/2020;9;5;0,555555556;1,0125;-0,46
nigh;près;27/01/2020;10;-4;-0,4;1;-1,4
strapping (common name);le cerclage;11/02/2020;0;0;0;1,125;-1,13
whence;d'où;11/02/2020;1;1;1;1,1125;-0,11
a guesswork;une conjecture;11/02/2020;12;4;0,333333333;0,975;-0,64
a lead time;un délai de mise en œuvre;11/02/2020;13;11;0,846153846;0,9625;-0,12
hay (common name);les foins;11/02/2020;13;9;0,692307692;0,9625;-0,27
a slat;une latte;11/02/2020;18;14;0,777777778;0,9;-0,12
measles (common name);la rougeole;26/02/2020;4;2;0,5;1,075;-0,58
painstaking (adj.);soigneux;26/02/2020;9;9;1;1,0125;-0,01
