english;français;Date;Nb;Score;Taux;image
to dodge;esquiver / se faufiler;2018-10-24;10;5;0.5;100.0
the throng;la foule;2018-10-24;27;8;0.3;78.75
a reshuffle;un remaniement;2018-10-24;34;15;0.44;70.0
ominous;menaçant. sinistre. inquiétant;2018-10-24;17;-4;-0.24;91.25
admittedly;de l'aveu de tous;2018-10-24;27;20;0.74;78.75
ramshakle (adj.);délabré;2018-10-24;19;-3;-0.16;88.75
to squeak;grincer / piailler. glapir;2018-10-24;23;-6;-0.26;83.75
to wean;sevrer. détacher de;2018-10-24;29;-6;-0.21;76.25
a hothouse;une serre / un foyer de décadence;2018-10-24;19;15;0.79;88.75
a lurch;une embardée;2018-10-24;21;3;0.14;86.25
protean (adj.);protéiforme. changeant. inconstant;2018-10-24;22;17;0.77;85.0
gilt (adj.);doré;2018-10-24;22;13;0.59;85.0
a scourge;un fléau. un fouet;2018-10-25;17;13;0.76;91.25
palatable;agréable au goût / acceptable;2018-10-25;15;6;0.4;93.75
flatly;catégoriquement;2018-10-25;23;4;0.17;83.75
jittery (adj.);nerveux. agité;2018-10-25;18;-5;-0.28;90.0
head-on (adv.);de front;2018-10-25;21;-10;-0.48;86.25
a fudge;un caramel / une blague / les dernières nouvelles;2018-10-25;18;11;0.61;90.0
forensic;relatif au barreau;2018-10-27;19;16;0.84;88.75
high-flown;ampoulé. (faussement) de haute volée;2018-10-27;29;20;0.69;76.25
moot (adj.);discutable. controversé;2018-10-27;20;-15;-0.75;87.5
beforehand;au préalable. auparavant;2018-10-27;22;15;0.68;85.0
whetted;aiguisé. stimulé;2018-10-27;15;10;0.67;93.75
outright (adv.);carrément. complètement. franchement;2018-10-27;35;17;0.49;68.75
grim;sinistre. triste;2018-10-27;24;15;0.63;82.5
lacklustre (adj.);morne;2018-10-27;26;10;0.38;80.0
ruthless;impitoyable;2018-10-28;23;7;0.3;83.75
parlous (adj.);précaire / alarmant. périlleux;2018-10-28;23;0;0.0;83.75
to spew;vomir / cracher;2018-10-28;15;10;0.67;93.75
mercurial;d'humeur changeante. d'humeur inégale;2018-10-28;18;9;0.5;90.0
to extol;exalter. vanter;2018-10-28;23;9;0.39;83.75
on the verge;sur le point de;2018-10-28;21;13;0.62;86.25
to tack;clouer / se faufiler. essayer une autre tactique;2018-10-28;29;17;0.59;76.25
dull;terne. mat. ennuyeux;2018-10-28;28;19;0.68;77.5
a blandishment;une flatterie;2018-10-28;21;6;0.29;86.25
meandering (adj.);sinueux;2018-10-28;16;9;0.56;92.5
clad;habillé;2018-10-28;23;16;0.7;83.75
belching (common name);une éructation;2018-10-28;23;11;0.48;83.75
strapped;à court d'argent;2018-10-28;17;-5;-0.29;91.25
chilly;froid (figuré) / frais;2018-10-28;20;16;0.8;87.5
soothing (adj.);apaisant. relaxant. reposant;2018-10-28;26;-5;-0.19;80.0
stilted;guindé;2018-10-28;27;17;0.63;78.75
aies and noes;les oui et les non d'un vote;2018-10-28;27;21;0.78;78.75
a helter-skelter;une bousculade;2018-10-30;26;14;0.54;80.0
dowdy;démodé. mal fagoté;2018-10-30;19;-7;-0.37;88.75
the fluke;le coup de chance;2018-10-30;23;8;0.35;83.75
the parlance;le langage;2018-10-30;19;0;0.0;88.75
throwaway (adj.);jetable / désinvolte;2018-10-30;27;19;0.7;78.75
frenzied;frénétique;2018-10-30;21;12;0.57;86.25
gubernatorial;du gouverneur;2018-10-30;19;15;0.79;88.75
ebb and flow;le flux et reflux;2018-10-30;23;18;0.78;83.75
countervailing;compensatoire;2018-10-31;20;-14;-0.7;87.5
to condone;fermer les yeux sur / pardonner;2018-10-31;31;19;0.61;73.75
a sneer;un ricanement;2018-10-31;12;-3;-0.25;97.5
a guinea pig;un cochon d'inde / un cobaye;2018-10-31;19;16;0.84;88.75
a borstal;un centre de détention pour mineurs;2018-10-31;21;6;0.29;86.25
to trammel;entraver;2018-10-31;17;-14;-0.82;91.25
spiritedness;la vivacité;2018-10-31;23;14;0.61;83.75
the wreath;la couronne. la guirlande;2018-11-01;28;19;0.68;77.5
the marrow;la moelle. l'essence;2018-11-01;20;-16;-0.8;87.5
a warp;une distorsion / une chaîne;2018-11-01;19;-4;-0.21;88.75
hubris (common name);une confiance en soi excessive;2018-11-01;19;1;0.05;88.75
the quill;la penne (plume);2018-11-01;20;-2;-0.1;87.5
to cull;cueillir / sélectionner / élire;2018-11-01;17;15;0.88;91.25
a flurry;une rafale;2018-11-01;18;10;0.56;90.0
feral;sauvage;2018-11-01;20;15;0.75;87.5
the bustle;l'agitation / la tournure;2018-11-02;24;-9;-0.38;82.5
ousted;évincé. chassé. expulsé;2018-11-02;21;15;0.71;86.25
chopsticks (common name);des baguettes (chinoises);2018-11-02;21;15;0.71;86.25
an upheaval;un bouleversement. un soulèvement. une agitation;2018-11-02;25;17;0.68;81.25
a slug;une limace;2018-11-02;21;15;0.71;86.25
a telltale;un témoin. un rapporteur;2018-11-02;22;-1;-0.05;85.0
to haggle;marchander;2018-11-02;23;-10;-0.43;83.75
unabashed;nullement intimidé;2018-11-02;17;11;0.65;91.25
misnomer (adj.);mal nommé;2018-11-02;24;15;0.63;82.5
to mourn;faire le deuil;2018-11-02;14;7;0.5;95.0
sly (adj.);sournois. rusé;2018-11-02;22;16;0.73;85.0
eerie (adj.);étrange. sinistre;2018-11-02;19;2;0.11;88.75
beaten tracks;les sentiers battus;2018-11-02;24;17;0.71;82.5
a spitoon;un crachoir;2018-11-02;22;14;0.64;85.0
gaunt (adj.);décharné. émacié;2018-11-02;21;14;0.67;86.25
to sip;siroter;2018-11-02;17;-4;-0.24;91.25
gruelling / grueling;épuisant. éreintant;2018-11-04;24;-12;-0.5;82.5
a haddock;un églefin;2018-11-04;23;16;0.7;83.75
a nettle;une ortie;2018-11-04;16;2;0.13;92.5
unswering;inébranlable. indéfectible;2018-11-04;18;-13;-0.72;90.0
corny;banal;2018-11-04;27;14;0.52;78.75
torpid;engourdi;2018-11-04;28;20;0.71;77.5
overweening;démesuré. outrecuidant;2018-11-04;18;-2;-0.11;90.0
bullying (common name);le harcèlement;2018-11-04;21;-8;-0.38;86.25
to depart;partir. quitter / mourir / s'écarter de;2018-11-04;20;-13;-0.65;87.5
squeamish;facilement dégoûté. qui a la nausée;2018-11-04;23;-2;-0.09;83.75
a closed shop;un milieu professionnel où l'adhésion à un syndicat est la condition pour être employé;2018-11-04;22;14;0.64;85.0
frail (adj.);frêle. fragile;2018-11-04;24;16;0.67;82.5
rollpicking (adj.);joyeux. bruyant;2018-11-04;28;16;0.57;77.5
pungent;mordant. acerbe;2018-11-04;25;18;0.72;81.25
to waylay;intercepter;2018-11-04;17;1;0.06;91.25
to coerce;contraindre. forcer;2018-11-04;21;9;0.43;86.25
a joggle;une légère secousse;2018-11-05;22;16;0.73;85.0
a barnacle;une bernacle (crustacée) / un crampon;2018-11-11;14;8;0.57;95.0
the unflappability;l'impuissance;2018-11-11;21;15;0.71;86.25
a rubbing;un frottement / un massage;2018-11-11;27;21;0.78;78.75
a gravedigger;un fossoyeur;2018-11-11;22;14;0.64;85.0
the upshot;le résultat. la conséquence;2018-11-11;23;8;0.35;83.75
the brainchild;l'invention due à une personne;2018-11-11;24;19;0.79;82.5
a locker;un casier. un coffre. un placard;2018-11-11;18;-7;-0.39;90.0
to vie;lutter;2018-11-11;22;11;0.5;85.0
a heckling;un chahut / une interpellation;2018-11-11;19;-14;-0.74;88.75
a tumble;une chute. une culbute;2018-11-11;16;8;0.5;92.5
shambolic;chaotique. désorganisé. mal organisé;2018-11-11;23;16;0.7;83.75
a bedfellow;un associé. un collègue;2018-11-11;12;2;0.17;97.5
canny;prudent. malin;2018-11-11;17;14;0.82;91.25
a gale;un coup de vent;2018-11-11;28;17;0.61;77.5
to shatter;briser. fracasser. éclater;2018-11-13;30;8;0.27;75.0
curdling (common name);la coagulation;2018-11-13;22;-8;-0.36;85.0
intractable;intraitable. indocile / insoluble;2018-11-13;18;9;0.5;90.0
even handed;équitable;2018-11-14;21;-2;-0.1;86.25
the precincts;les environs. les alentours / l'enceinte;2018-11-14;19;13;0.68;88.75
a weasel;une belette. une fouine;2018-11-14;20;13;0.65;87.5
a clip;une agrafe. une attache;2018-11-14;29;18;0.62;76.25
the livelihood;le gagne-pain;2018-11-14;22;5;0.23;85.0
to hatch;faire éclore / couver;2018-11-17;24;18;0.75;82.5
foes (common name);les ennemis;2018-11-17;21;16;0.76;86.25
a lair;un repaire. une tanière;2018-11-17;13;8;0.62;96.25
to amok;être incontrôlable;2018-11-17;23;8;0.35;83.75
ilk;ceux-là mêmes;2018-11-17;21;15;0.71;86.25
a harbinger;un présage. un signe avant-coureur;2018-11-18;26;12;0.46;80.0
asunder;en morceaux. écartés / éloignés;2018-11-18;16;13;0.81;92.5
the apex;le sommet. le point culminant;2018-11-18;16;12;0.75;92.5
frenzied;frénétique. désespéré;2018-11-18;11;10;0.91;98.75
torn;déchiré;2018-11-18;25;19;0.76;81.25
a hound;un chien de chasse;2018-11-18;12;9;0.75;97.5
to backstab;poignarder dans le dos;2018-11-18;18;14;0.78;90.0
dapper (adj.);pimpant. élégant. chic;2018-11-18;12;4;0.33;97.5
to heed;tenir compte de. prendre garde à;2018-11-18;33;3;0.09;71.25
a shredder;une déchiqueteuse;2018-11-18;15;10;0.67;93.75
yonder;là-bas;2018-11-18;18;12;0.67;90.0
drab (adj.);terne. morne;2018-11-18;27;14;0.52;78.75
the watershed;le moment critique. le grand tournant / le bassin versant;2018-11-18;27;6;0.22;78.75
an upsurge;une recrudescence. un regain;2018-11-18;27;6;0.22;78.75
devious;sournois / détourné;2018-11-18;20;11;0.55;87.5
to buy off;acheter le silence de;2018-11-18;16;-7;-0.44;92.5
a tendril;une vrille;2018-11-18;25;-1;-0.04;81.25
unwieldy (adj.);lourd;2018-11-18;35;22;0.63;68.75
a mayhem;du grabuge / une destruction;2018-11-18;19;12;0.63;88.75
a den;une tanière;2018-11-18;24;15;0.63;82.5
the payload;la charge utile. la charge payante. l'emport;2018-11-18;11;0;0.0;98.75
lurid;épouvantable. horrible;2018-11-18;22;3;0.14;85.0
a wayward;un rebelle;2018-11-18;29;19;0.66;76.25
a trail;un sentier. une piste;2018-11-18;20;13;0.65;87.5
a roaming;un errant. un vagabond;2018-11-18;24;7;0.29;82.5
a goose;une oie;2018-11-18;20;12;0.6;87.5
a reaper;une moissonneuse;2018-11-18;18;13;0.72;90.0
to defile;souillez. profaner. salir;2018-11-18;22;13;0.59;85.0
to husk;décortiquer;2018-11-18;23;-3;-0.13;83.75
stalwart (adj.);fidèle / vigoureux;2018-11-18;20;2;0.1;87.5
stealthy;furtif. fait en secret;2018-11-18;21;3;0.14;86.25
to scour;parcourir. fouiller / récurer;2018-11-19;16;-4;-0.25;92.5
a placeholder;un espace réservé;2018-11-19;21;-6;-0.29;86.25
a saddle;une selle / un col;2018-11-19;17;11;0.65;91.25
the gumption;la jugeotte;2018-11-19;30;-2;-0.07;75.0
wanton (adj.);capricieux / injustifié;2018-11-19;22;-3;-0.14;85.0
to vindicate;justifier. défendre;2018-11-19;22;11;0.5;85.0
the maw;la gueule;2018-11-19;17;8;0.47;91.25
to atone;expier;2018-11-19;31;5;0.16;73.75
the elbow room;l'espace vital;2018-11-19;19;15;0.79;88.75
grasper (adj.);compréhensif;2018-11-20;27;16;0.59;78.75
overlooked;négligé. oublié;2018-11-21;23;8;0.35;83.75
a prowess;une prouesse;2018-11-21;26;17;0.65;80.0
a locust;un criquet. une sauterelle. une caroube;2018-11-21;23;16;0.7;83.75
a fisticuffs;un accrochage. une bagarre;2018-11-21;24;16;0.67;82.5
a pawn;un pion / un gage;2018-11-21;19;14;0.74;88.75
a crucible;un creuset / une épreuve;2018-11-21;21;14;0.67;86.25
to pespire;transpirer;2018-11-21;25;16;0.64;81.25
a landslide;un glissement de terrain. un éboulement;2018-11-21;20;15;0.75;87.5
a straggler;un traînard;2018-11-22;25;5;0.2;81.25
a heap;un tas. un amas. un monceau;2018-11-23;22;15;0.68;85.0
a bulkhead;une cloison;2018-11-23;29;14;0.48;76.25
sloppy (adj.);négligé. peu soigné. débraillé;2018-11-23;22;2;0.09;85.0
prattling;des babillages;2018-11-23;17;11;0.65;91.25
a reckoning;un calcul. un compte;2018-11-23;18;1;0.06;90.0
nifty;débrouillard. habile / admirable;2018-11-24;22;-1;-0.05;85.0
to backtrack;faire marche arrière;2018-11-24;17;-2;-0.12;91.25
the throes;les affres de la mort;2018-11-24;18;10;0.56;90.0
sellotape;du scotch;2018-11-24;25;19;0.76;81.25
to mince;parler du bout des lèvres;2018-11-24;15;4;0.27;93.75
to fetter;entraver. enchaîner;2018-11-24;21;-12;-0.57;86.25
innocuous;inoffensif;2018-11-24;18;5;0.28;90.0
ludicrous;ridicule. risible;2018-11-24;22;6;0.27;85.0
a wont;une habitude;2018-11-24;22;-16;-0.73;85.0
a spear;une lance. une pointe;2018-11-24;28;21;0.75;77.5
to bode;présager. augurer;2018-11-24;29;19;0.66;76.25
the nub;l'essentiel. le noyau / le bout;2018-11-24;31;16;0.52;73.75
to gloat;jubiler. exulter;2018-11-24;20;10;0.5;87.5
a slumbering;une sieste. un somme;2018-11-25;25;18;0.72;81.25
to seethe;bouillonner;2018-11-25;27;10;0.37;78.75
a swoop;une rafle / une plongée. une descente en piqué;2018-11-25;25;4;0.16;81.25
to bestow;donner / accorder;2018-11-25;23;-14;-0.61;83.75
a tether;une attache;2018-11-25;23;4;0.17;83.75
barren;stérile. aride / ingrat;2018-11-26;17;11;0.65;91.25
forcibly;par la force / avec force;2018-11-26;17;3;0.18;91.25
to vaunt;se vanter;2018-11-26;30;19;0.63;75.0
the mettle;le courage;2018-11-26;24;12;0.5;82.5
the dread;la crainte;2018-12-04;24;16;0.67;82.5
a ploy;un stratagème;2018-12-04;25;18;0.72;81.25
a dais;une estrade;2018-12-04;17;9;0.53;91.25
woven;tissé. tricoté;2018-12-04;17;10;0.59;91.25
to treble;tripler;2018-12-04;21;16;0.76;86.25
a blueprint;un plan. un projet;2018-12-04;12;10;0.83;97.5
a loophole;un échappatoire / une lacune;2018-12-04;17;8;0.47;91.25
a buck;un dollar / un mâle. un mec. quelqu'un d'élégant;2018-12-04;32;19;0.59;72.5
the insight;la perspicacité;2018-12-04;25;20;0.8;81.25
forsaken;abandonné. délaissé;2018-12-04;29;14;0.48;76.25
to thwart;contrecarrer. contrarier;2018-12-04;29;14;0.48;76.25
a straitjacket;une camisole de force;2018-12-04;19;15;0.79;88.75
a mish mash;un méli-mélo;2018-12-04;23;15;0.65;83.75
the squalor;la misère noire;2018-12-04;17;9;0.53;91.25
the guise;l'apparence / les habits;2018-12-04;20;11;0.55;87.5
to forswear;renoncer / parjurer;2018-12-04;29;20;0.69;76.25
half baked;(fig.) mal dégrossi;2018-12-04;27;21;0.78;78.75
overarching;global;2018-12-04;21;15;0.71;86.25
to fudge;truquer / esquiver. tergiverser;2018-12-04;17;9;0.53;91.25
far-flung;lointain / vaste;2018-12-04;10;-10;-1.0;100.0
a knave;un fripon. un coquin;2018-12-04;30;3;0.1;75.0
to rend;déchirer;2018-12-04;28;8;0.29;77.5
a vilification;une diffamation. une calomnie;2018-12-04;21;7;0.33;86.25
to peg;pitonner / bloquer;2018-12-04;20;-12;-0.6;87.5
to hanker;avoir envie de;2018-12-04;29;10;0.34;76.25
blithely;allègrement;2018-12-04;25;6;0.24;81.25
the exertion;l'effort / la fatigue;2018-12-04;22;-12;-0.55;85.0
an upstart;un parvenu. un arriviste;2018-12-10;18;9;0.5;90.0
gruesome;horrible. macabre;2018-12-10;25;7;0.28;81.25
a tenet;un principe. une doctrine. un dogme;2018-12-10;18;-3;-0.17;90.0
a keep;un donjon / une pension;2018-12-10;18;14;0.78;90.0
dire;terrible;2018-12-10;28;18;0.64;77.5
doubly;doublement;2018-12-10;24;16;0.67;82.5
a brink;un bord;2018-12-10;27;18;0.67;78.75
the sow;la truie;2018-12-10;27;18;0.67;78.75
shabby;minable;2018-12-10;21;9;0.43;86.25
far cry (expr.);en être loin;2018-12-10;17;11;0.65;91.25
a scent;un parfum. une odeur;2018-12-10;14;12;0.86;95.0
mire (common name);de la boue;2018-12-10;30;20;0.67;75.0
to skulk;rôder en se cachant. entrer furtivement;2018-12-10;13;1;0.08;96.25
a mongrel;un bâtard / un métis;2018-12-10;18;9;0.5;90.0
to squeeze;écraser;2018-12-10;18;13;0.72;90.0
to hone;aiguiser / avoir envie de / maigrir;2018-12-10;27;3;0.11;78.75
duly;dûment. comme prévu. comme il faut;2018-12-10;22;17;0.77;85.0
to skitter;glisser / s'enfuir;2018-12-10;28;14;0.5;77.5
to propitiate;se concilier;2018-12-10;21;9;0.43;86.25
a boar;un sanglier;2018-12-10;21;11;0.52;86.25
a whelp;un petit (animal);2018-12-10;16;11;0.69;92.5
the asbestos;l'amiante;2018-12-10;17;11;0.65;91.25
to fend;se débrouiller;2018-12-10;24;-18;-0.75;82.5
a rim;une jante;2018-12-10;27;16;0.59;78.75
a slinter;un éclat;2018-12-10;8;-6;-0.75;102.5
a wabbling;un vacillement;2018-12-10;13;6;0.46;96.25
to buttress;soutenir. épauler;2018-12-10;22;18;0.82;85.0
to reel;chanceler. vaciller. tituber;2018-12-10;10;-8;-0.8;100.0
to bequeath;transmettre. léguer;2018-12-10;28;13;0.46;77.5
snide (adj.);sarcastique. narquois / mesquin;2018-12-10;27;12;0.44;78.75
hapless;malchanceux. infortuné;2018-12-10;27;-1;-0.04;78.75
tin (common name);l'étain / une boîte de conserve;2018-12-10;15;7;0.47;93.75
cumbersome;lourd. encombrant;2018-12-10;25;11;0.44;81.25
a cranny;une fente;2018-12-10;13;-3;-0.23;96.25
bustling (adj.);animé. actif. énergique;2018-12-10;17;1;0.06;91.25
blight (common name);la rouille / la corruption / la brûlure;2018-12-10;19;12;0.63;88.75
paltry (adj.);dérisoire. misérable;2018-12-10;18;-13;-0.72;90.0
profligacy;la débauche. le libertinage;2018-12-10;25;12;0.48;81.25
a contraption;un bidule. un machin;2018-12-10;23;11;0.48;83.75
a nook;un coin;2018-12-10;21;15;0.71;86.25
overarching;global;2018-12-10;13;10;0.77;96.25
a stench;une puanteur. une odeur nauséabonde. un relent;2018-12-10;17;14;0.82;91.25
dusty;poussiéreux;2018-12-10;20;11;0.55;87.5
an overkill;une exagération. une surestimation;2018-12-10;17;12;0.71;91.25
a nosedive;un plongeon. un piqué;2018-12-16;17;12;0.71;91.25
to stifle;étouffer. réprimer;2018-12-16;20;8;0.4;87.5
to dangle;pendre. balancer;2018-12-16;31;19;0.61;73.75
well-heeled;bien nantis;2018-12-17;25;16;0.64;81.25
the rabble;la populace / la cohue;2018-12-17;22;-4;-0.18;85.0
a snare;un piège. un collet / une caisse claire;2018-12-17;17;4;0.24;91.25
to allay;modérer. apaiser;2018-12-17;21;-12;-0.57;86.25
slovenly;négligemment;2018-12-17;28;8;0.29;77.5
the abode;la demeure. la résidence;2018-12-17;24;-12;-0.5;82.5
a shrapnel;un éclat d'obus;2018-12-17;29;19;0.66;76.25
a dud;une pièce NOK / une nippe;2018-12-17;33;20;0.61;71.25
to aver;affirmer. déclarer;2018-12-17;18;-5;-0.28;90.0
a hovel;un taudis;2018-12-17;28;-2;-0.07;77.5
conducive (adv.);contribuant. assistant;2018-12-17;24;-9;-0.38;82.5
an auger;une tarrière;2018-12-17;34;6;0.18;70.0
mild;doux;2018-12-17;32;18;0.56;72.5
diehard (adj.);conservateur / pur et dur;2018-12-17;19;16;0.84;88.75
the peg;la cheville;2018-12-17;24;13;0.54;82.5
a chum;un ami;2018-12-17;26;18;0.69;80.0
the markups;les balisages / la marge;2018-12-17;23;18;0.78;83.75
a dimwit;une bête / une personne ignorante;2018-12-17;19;15;0.79;88.75
shoddy;de mauvaise qualité;2018-12-17;21;16;0.76;86.25
to shroud;envelopper;2019-01-07;22;11;0.5;85.0
embroidered;brodé;2019-01-07;20;14;0.7;87.5
the fang;les crocs;2019-01-07;18;11;0.61;90.0
the kinship;la parenté;2019-01-07;23;15;0.65;83.75
a nonius;un vernier;2019-01-07;15;8;0.53;93.75
a fart;un pet;2019-01-07;16;11;0.69;92.5
studded;clouté;2019-01-07;32;-12;-0.38;72.5
a nexus;un lien;2019-01-07;29;19;0.66;76.25
the nutmeg;la noix de muscade;2019-01-07;19;11;0.58;88.75
rash (adj.);téméraire;2019-01-07;21;-2;-0.1;86.25
the chest;la poitrine / le coffre (propre et figuré);2019-01-07;19;15;0.79;88.75
a pan;une poêle;2019-01-07;24;16;0.67;82.5
a rope;une corde;2019-01-07;18;14;0.78;90.0
the casket / the coffin;le cercueil;2019-01-07;18;9;0.5;90.0
cramped;à l'étroit;2019-01-07;16;8;0.5;92.5
sturdy;solide;2019-01-07;14;-9;-0.64;95.0
the clove;le clou de girofle;2019-01-07;24;18;0.75;82.5
brash (adj.);impétueux;2019-01-07;23;16;0.7;83.75
a flail (weapon);un fléau (l'arme);2019-01-07;27;19;0.7;78.75
looting (common name);le pillage;2019-01-07;34;23;0.68;70.0
an eon;un temps. une période;2019-01-07;14;10;0.71;95.0
to bale;paqueter;2019-01-07;20;-10;-0.5;87.5
spurious;faux ;2019-01-07;21;-11;-0.52;86.25
chequered;à carreau;2019-01-07;21;16;0.76;86.25
a shoal;un banc (de poisson. de sable);2019-01-07;23;14;0.61;83.75
frying (common name);la friture;2019-01-07;30;20;0.67;75.0
the lore (plur.);les traditions;2019-01-07;17;13;0.76;91.25
to clamp down;réprimer;2019-01-07;23;15;0.65;83.75
a misgiving;une crainte / un doute;2019-01-12;23;-16;-0.7;83.75
lush;luxuriant;2019-01-13;13;10;0.77;96.25
the chalk;la craie;2019-01-14;16;12;0.75;92.5
Nitrogene;l'azote;2019-01-28;19;12;0.63;88.75
bromine;le brome;2019-01-28;27;16;0.59;78.75
a feat;un exploit;2019-01-28;20;17;0.85;87.5
a keyhole;un trou de serrure;2019-01-28;32;22;0.69;72.5
a rug;une couverture;2019-01-28;20;14;0.7;87.5
degreasing (common name);le dégraissage;2019-01-28;32;23;0.72;72.5
astatine;l'astate;2019-01-28;22;16;0.73;85.0
to takeover;prendre le contrôle;2019-01-28;23;14;0.61;83.75
to marshal;rassembler / canaliser;2019-02-05;28;19;0.68;77.5
frill (adj.);volant;2019-02-12;24;-8;-0.33;82.5
a slot;une fente. une rainure;2019-03-16;27;17;0.63;78.75
a wall socket;une prise électrique murale;2019-03-16;22;18;0.82;85.0
to refund;rembourser (soutenu);2019-03-24;19;13;0.68;88.75
a slice of ham;une tranche de jambon;2019-03-24;22;17;0.77;85.0
As I see it. ;Selon moi. ;2019-03-24;21;12;0.57;86.25
She enjoys entertaining.;Elle adore recevoir du monde.;2019-03-24;22;-5;-0.23;85.0
She's pretty chilled.;Elle est très décontractée.;2019-03-24;28;16;0.57;77.5
a scarf;une écharpe. un foulard;2019-03-24;26;20;0.77;80.0
I fell over.;Je suis tombé.;2019-03-24;32;21;0.66;72.5
He's really uptight.;Il est vraiment coincé / crispé.;2019-03-24;22;7;0.32;85.0
a wallet;un portefeuille;2019-03-24;28;1;0.04;77.5
a cap;une casquette;2019-03-24;23;15;0.65;83.75
Can you gift-wrap it?;Pouvez-vous me faire un paquet-cadeau ?;2019-03-24;30;21;0.7;75.0
All in good time.;Chaque chose en son temps.;2019-03-24;17;10;0.59;91.25
in due course;en bref (soutenu);2019-03-24;17;-6;-0.35;91.25
Give my love to Diane.;Embrasse Diane de ma part.;2019-03-24;26;15;0.58;80.0
a tin of beans;une boîte de conserve de haricots;2019-03-24;22;15;0.68;85.0
I'm a size 12.;Je fais du 40 (en taille);2019-03-24;18;15;0.83;90.0
No way?!;C'est pas vrai ?!;2019-03-24;18;10;0.56;90.0
I passed my exam.;J'ai réussi mon examen;2019-03-24;26;14;0.54;80.0
We found her passed out.;On l'a retrouvée évanouie.;2019-03-24;31;19;0.61;73.75
My pleasure.;Je vous en prie.;2019-03-24;25;20;0.8;81.25
a loaf of (sliced) bread;une miche de pain (généralement tranché);2019-03-24;26;21;0.81;80.0
a necklace;un collier;2019-03-24;22;16;0.73;85.0
a punnet;une barquette;2019-03-24;19;15;0.79;88.75
Just you try!;Essaie un peu pour voir !;2019-04-08;13;7;0.54;96.25
flush (adj.);abondant;2019-04-28;17;12;0.71;91.25
to peeve;mettre en rogne;2019-04-29;20;-8;-0.4;87.5
a wildcard;une carte joker;2019-04-29;15;12;0.8;93.75
terse;laconique. concis;2019-05-01;27;21;0.78;78.75
a trade-off (common name);un compromis;2019-05-15;24;8;0.33;82.5
customary;habituel;2019-05-17;13;3;0.23;96.25
to spawn;frayer;2019-05-18;16;-9;-0.56;92.5
a hull;une coque;2019-05-18;23;15;0.65;83.75
a warp;une chaîne / un voile;2019-05-18;16;6;0.38;92.5
the leniency;la clémence. l'indulgence;2019-05-18;26;19;0.73;80.0
vaunted;vanné;2019-05-18;21;11;0.52;86.25
stranded;échoué;2019-05-20;21;16;0.76;86.25
upwind;au vent;2019-05-20;27;21;0.78;78.75
a lattice;un treillis;2019-05-20;17;7;0.41;91.25
meek;doux;2019-05-20;16;1;0.06;92.5
an endeavor;un effort;2019-05-20;24;19;0.79;82.5
perks;les avantages divers (salaires. notes de frais. CE. );2019-05-20;25;14;0.56;81.25
a pun;un calembour;2019-05-20;19;15;0.79;88.75
scruffy;débraillé;2019-05-20;20;14;0.7;87.5
a token;un jeton;2019-05-20;27;16;0.59;78.75
a heathen;un païen;2019-05-20;14;4;0.29;95.0
to mutter;murmurer;2019-05-20;27;18;0.67;78.75
the vanguard;l'avant-garde;2019-05-20;16;14;0.88;92.5
to pervade;imprégner;2019-05-20;27;-5;-0.19;78.75
a dye;un colorant;2019-05-20;22;17;0.77;85.0
a dither;un tremblement;2019-05-20;21;2;0.1;86.25
to squirm;se tortiller;2019-05-20;24;17;0.71;82.5
unkempt;peu soigné;2019-05-20;16;8;0.5;92.5
lukewarm;tiède;2019-05-20;16;8;0.5;92.5
innermost;intime;2019-05-20;28;21;0.75;77.5
a spree;une fête;2019-05-20;21;9;0.43;86.25
stepping stones;un tremplin;2019-05-20;19;8;0.42;88.75
a pond;un étang;2019-05-20;25;19;0.76;81.25
despicable;méprisable;2019-05-20;23;16;0.7;83.75
the way to go;la marche à suivre;2019-05-20;27;21;0.78;78.75
a fence;une clôture;2019-05-20;18;11;0.61;90.0
a parrot;un perroquet;2019-05-20;21;12;0.57;86.25
an underwriting;une souscription;2019-05-20;25;16;0.64;81.25
the vicinity;les environs. les alentours;2019-05-20;28;19;0.68;77.5
the gusto;l'enthousiasme;2019-05-20;21;8;0.38;86.25
a snippet;un extrait;2019-05-20;21;13;0.62;86.25
a boilerplate;une plaque de cuisson;2019-05-20;22;15;0.68;85.0
shards (common name);des éclats. du tesson;2019-05-20;22;12;0.55;85.0
to crop;rogner / surgir / récolter;2019-05-20;22;13;0.59;85.0
a dissenter;un dissident;2019-05-20;23;-9;-0.39;83.75
a pin;une épingle;2019-05-20;15;-6;-0.4;93.75
a bum;un clochard;2019-05-20;21;11;0.52;86.25
peculiar;particulier;2019-05-20;17;11;0.65;91.25
outermost;le plus extérieur;2019-05-20;21;11;0.52;86.25
a skit;un sketch;2019-05-20;25;13;0.52;81.25
a compound;une enceinte;2019-05-20;17;8;0.47;91.25
to slacken;ralentir. se relâcher;2019-05-20;23;15;0.65;83.75
an uplift;un soulèvement;2019-05-20;19;9;0.47;88.75
sludge (common name); de la boue;2019-05-20;11;-6;-0.55;98.75
hollow;creux;2019-05-20;23;12;0.52;83.75
steep;raide;2019-05-20;18;10;0.56;90.0
verbose;prolixe;2019-05-20;20;17;0.85;87.5
to indwell;habiter;2019-05-20;23;15;0.65;83.75
stiff (adj.);rigide;2019-05-20;23;15;0.65;83.75
